"V1","V4","V5"
"SRX3372012","FOXF1","Digestive tract"
"SRX3372016","FOXF1","Digestive tract"
"SRX3372020","ETV1","Digestive tract"
"SRX3372021","FOXF1","Digestive tract"
"SRX3372023","H3K4me3","Digestive tract"
"SRX3372028","H3K4me3","Digestive tract"
"SRX341010","MYOD1","Muscle"
"SRX3411541","H3K27ac","Cardiovascular"
"SRX3411542","H3K27ac","Cardiovascular"
"SRX3436561","SSRP1","Bone"
"SRX3436562","SSRP1","Bone"
"SRX3445722","ZNF341","Blood"
"SRX3445723","ZNF341","Blood"
"SRX346921","MITF","Epidermis"
"SRX346922","MITF","Epidermis"
"SRX346923","MITF","Digestive tract"
"SRX346924","MITF","Digestive tract"
"SRX3526593","ZFX","Prostate"
"SRX356440","H3K27ac","Blood"
"SRX356441","H3K27ac","Blood"
"SRX356442","H3K27me3","Blood"
"SRX356443","H3K27me3","Blood"
"SRX356448","H3K4me3","Blood"
"SRX356449","H3K4me3","Blood"
"SRX356479","STAG1","Blood"
"SRX356480","STAG1","Blood"
"SRX356503","H3K27ac","Blood"
"SRX356504","H3K27ac","Blood"
"SRX356506","H3K27me3","Blood"
"SRX356507","H3K27me3","Blood"
"SRX356515","H3K4me3","Blood"
"SRX356516","H3K4me3","Blood"
"SRX356525","H3K27ac","Blood"
"SRX356526","H3K27ac","Blood"
"SRX356528","H3K27me3","Blood"
"SRX356529","H3K27me3","Blood"
"SRX356537","H3K4me3","Blood"
"SRX356538","H3K4me3","Blood"
"SRX356561","CTCF","Blood"
"SRX356562","CTCF","Blood"
"SRX356563","H3K27ac","Blood"
"SRX356564","H3K27ac","Blood"
"SRX356565","H3K27me3","Blood"
"SRX356566","H3K27me3","Blood"
"SRX356571","H3K4me3","Blood"
"SRX356572","H3K4me3","Blood"
"SRX356576","STAG1","Blood"
"SRX356577","STAG1","Blood"
"SRX356597","H3K27ac","Blood"
"SRX356598","H3K27ac","Blood"
"SRX356599","H3K27me3","Blood"
"SRX356600","H3K27me3","Blood"
"SRX356605","H3K4me3","Blood"
"SRX356606","H3K4me3","Blood"
"SRX356614","H3K27ac","Blood"
"SRX356615","H3K27ac","Blood"
"SRX356616","H3K27me3","Blood"
"SRX356617","H3K27me3","Blood"
"SRX356622","H3K4me3","Blood"
"SRX356623","H3K4me3","Blood"
"SRX356631","H3K27ac","Blood"
"SRX356633","H3K27me3","Blood"
"SRX356639","H3K4me3","Blood"
"SRX356646","CTCF","Blood"
"SRX356648","H3K27ac","Blood"
"SRX356651","H3K27me3","Blood"
"SRX356659","H3K4me3","Blood"
"SRX356665","STAG1","Blood"
"SRX356666","STAG1","Blood"
"SRX356667","CTCF","Blood"
"SRX356669","H3K27ac","Blood"
"SRX356672","H3K27me3","Blood"
"SRX356681","H3K4me3","Blood"
"SRX356687","STAG1","Blood"
"SRX356688","STAG1","Blood"
"SRX356689","CTCF","Blood"
"SRX356691","H3K27ac","Blood"
"SRX356692","H3K27ac","Blood"
"SRX356694","H3K27me3","Blood"
"SRX356695","H3K27me3","Blood"
"SRX356703","H3K4me3","Blood"
"SRX356704","H3K4me3","Blood"
"SRX356710","STAG1","Blood"
"SRX356711","STAG1","Blood"
"SRX3644342","FOXA2","Epidermis"
"SRX3644343","H3K27me3","Epidermis"
"SRX3644344","H3K27me3","Epidermis"
"SRX3644347","FOXA2","Epidermis"
"SRX3644348","FOXA2","Epidermis"
"SRX3644349","FOXA2","Epidermis"
"SRX3644350","FOXA2","Epidermis"
"SRX3644351","FOXA2","Epidermis"
"SRX3644352","H3K4me1","Epidermis"
"SRX3644353","H3K4me1","Epidermis"
"SRX3644354","FOXA2","Epidermis"
"SRX3644355","FOXA2","Epidermis"
"SRX3644356","FOXA2","Epidermis"
"SRX3644357","Epitope tags","Epidermis"
"SRX3644358","FOXA2","Epidermis"
"SRX3644359","H3K4me2","Epidermis"
"SRX3644360","H3K4me2","Epidermis"
"SRX3644361","H3K27ac","Epidermis"
"SRX3644362","H3K27ac","Epidermis"
"SRX3644363","H3K27me3","Epidermis"
"SRX3644364","H3K27me3","Epidermis"
"SRX381321","H3K4me1","Pluripotent stem cell"
"SRX381322","H3K4me3","Pluripotent stem cell"
"SRX381323","H3K27me3","Pluripotent stem cell"
"SRX381324","H3K27ac","Pluripotent stem cell"
"SRX381325","H3K9me3","Pluripotent stem cell"
"SRX381502","Epitope tags","Blood"
"SRX381503","Epitope tags","Blood"
"SRX381543","LDB1","Blood"
"SRX381545","CTCF","Blood"
"SRX382353","RNF2","Epidermis"
"SRX382354","RNF2","Epidermis"
"SRX386478","MAF","Epidermis"
"SRX386479","MAFB","Epidermis"
"SRX3942989","ZNF341","Blood"
"SRX3942990","ZNF341","Blood"
"SRX3942992","ZNF341","Blood"
"SRX398302","CDK8","Digestive tract"
"SRX4059543","ERG","Prostate"
"SRX4059544","EHF","Prostate"
"SRX4080273","SMARCA4","Prostate"
"SRX4080274","SMARCA4","Prostate"
"SRX4080275","SMARCA2","Prostate"
"SRX4080276","SMARCA2","Prostate"
"SRX4080277","H3K27ac","Prostate"
"SRX4080278","H3K27ac","Prostate"
"SRX4080279","H3K27ac","Prostate"
"SRX4080280","H3K27ac","Prostate"
"SRX4080281","H3K4me1","Prostate"
"SRX4080282","H3K4me1","Prostate"
"SRX4080283","H3K4me1","Prostate"
"SRX4080284","H3K4me1","Prostate"
"SRX4080285","H3K4me3","Prostate"
"SRX4080287","H3K4me3","Prostate"
"SRX4080293","SMARCB1","Prostate"
"SRX4080294","SMARCB1","Prostate"
"SRX4235878","KMT2D","Digestive tract"
"SRX423971","CTNNB1","Digestive tract"
"SRX467199","NR2C2","Blood"
"SRX467200","NR2C2","Blood"
"SRX475743","GABPA","Blood"
"SRX475755","SPI1","Blood"
"SRX475756","ZBTB33","Blood"
"SRX476913","SNAI2","Epidermis"
"SRX476914","SNAI2","Epidermis"
"SRX481465","H3K4me3","Prostate"
"SRX481466","ARRB1","Prostate"
"SRX497247","H3K4me3","Lung"
"SRX497248","H3K4me3","Lung"
"SRX497251","H3K27me3","Lung"
"SRX497252","H3K27me3","Lung"
"SRX497255","CTCF","Lung"
"SRX497256","CTCF","Lung"
"SRX502054","AR","Prostate"
"SRX502056","AR","Prostate"
"SRX502808","HIRA","Lung"
"SRX502810","HIRA","Lung"
"SRX514840","TP53","Epidermis"
"SRX530184","NR1H4","Liver"
"SRX530186","NR1H4","Liver"
"SRX534844","CHD8","Neural"
"SRX534845","CHD8","Neural"
"SRX535453","CDK9","Epidermis"
"SRX535454","CDK9","Epidermis"
"SRX535455","HEXIM1","Epidermis"
"SRX535456","HEXIM1","Epidermis"
"SRX539644","H3K27ac","Breast"
"SRX539645","H3K27me3","Breast"
"SRX539646","H3K4me1","Breast"
"SRX539647","H3K4me3","Breast"
"SRX539656","H3K27ac","Prostate"
"SRX539657","H3K27me3","Prostate"
"SRX539659","H3K4me3","Prostate"
"SRX541384","EZH2","Blood"
"SRX541385","EZH2","Blood"
"SRX543180","ZNF750","Epidermis"
"SRX543181","KLF4","Epidermis"
"SRX543182","RCOR1","Epidermis"
"SRX543183","KDM1A","Epidermis"
"SRX553423","H3K27me3","Blood"
"SRX553427","H3K27me3","Blood"
"SRX555489","Epitope tags","Pluripotent stem cell"
"SRX581576","DNase-Seq","Blood"
"SRX581577","DNase-Seq","Blood"
"SRX581586","DNase-Seq","Blood"
"SRX581587","DNase-Seq","Blood"
"SRX596338","CTNNB1","Pluripotent stem cell"
"SRX596340","CTNNB1","Pluripotent stem cell"
"SRX627217","H3K27ac","Blood"
"SRX627428","SPI1","Blood"
"SRX627430","SPI1","Blood"
"SRX641915","H3K27ac","Epidermis"
"SRX646123","H3K27me3","Blood"
"SRX646125","EED","Blood"
"SRX646126","SUZ12","Blood"
"SRX646135","NFE2","Blood"
"SRX646136","TAL1","Blood"
"SRX663438","DMC1","Gonad"
"SRX663441","DMC1","Gonad"
"SRX663448","H3K4me3","Gonad"
"SRX668214","H3K27ac","Neural"
"SRX668217","E2F4","Neural"
"SRX668219","ZNF92","Neural"
"SRX668234","MED1","Muscle"
"SRX679419","PROX1","Digestive tract"
"SRX685328","H3K27ac","Blood"
"SRX685339","H3K27me3","Blood"
"SRX687834","TP63","Epidermis"
"SRX687835","TP63","Epidermis"
"SRX707366","H3K4me3","Neural"
"SRX707368","EZH2","Neural"
"SRX707369","H3K27me3","Neural"
"SRX718420","Epitope tags","Epidermis"
"SRX718421","SOX10","Epidermis"
"SRX718422","SMARCA4","Epidermis"
"SRX718423","SMARCA4","Epidermis"
"SRX718424","GFP","Epidermis"
"SRX734307","FOXM1","Breast"
"SRX734308","MYBL2","Breast"
"SRX734309","E2F1","Breast"
"SRX735284","H3K4me3","Blood"
"SRX735286","H3K4me3","Blood"
"SRX735287","H3K27ac","Blood"
"SRX735288","H3K27ac","Blood"
"SRX735294","H3K27ac","Blood"
"SRX735295","H3K27ac","Blood"
"SRX749133","BRD4","Blood"
"SRX750658","H3K4me3","Breast"
"SRX750663","H3K27me3","Breast"
"SRX753312","JUNB","Epidermis"
"SRX754586","DNase-Seq","Prostate"
"SRX758323","MBD2","Breast"
"SRX764601","H3K4me3","Blood"
"SRX767116","HSF1","Epidermis"
"SRX807620","Epitope tags","Epidermis"
"SRX807623","H3K4me3","Epidermis"
"SRX814231","OTX2","Neural"
"SRX814234","LHX2","Neural"
"SRX860889","H3K27ac","Adipocyte"
"SRX860890","H3K27ac","Adipocyte"
"SRX860893","H3K27me3","Adipocyte"
"SRX860894","H3K27me3","Adipocyte"
"SRX871279","H3K4me3","Pancreas"
"SRX871282","H3K4me3","Pancreas"
"SRX871290","H3K27ac","Pancreas"
"SRX871291","H3K27ac","Pancreas"
"SRX873813","DNMT3A","Epidermis"
"SRX873814","DNMT3B","Epidermis"
"SRX903254","H3K27me3","Blood"
"SRX903255","H3K27me3","Blood"
"SRX956545","H3K27ac","Blood"
"SRX956548","H3K27ac","Blood"
"SRX971591","H3K27me3","Epidermis"
"SRX971592","H3K27me3","Epidermis"
"SRX974427","H3K4me3","Lung"
"SRX974429","H3K4me3","Liver"
"SRX974431","H3K4me3","Liver"
"SRX974433","H3K4me3","Lung"
"SRX995500","CTCF","Blood"
"SRX995501","STAG1","Blood"
"SRX995502","H3K27me3","Blood"
"SRX998277","H3K27ac","Neural"
"SRX998279","H3K27ac","Neural"
"SRX998280","H3K27ac","Neural"
"SRX998282","H3K27ac","Neural"
"SRX998286","H3K27ac","Neural"
"SRX998287","H3K27ac","Neural"
"SRX998289","H3K27ac","Neural"
"SRX998291","H3K27ac","Neural"
