"V1","V4","V5"
"SRX069088","DNase-Seq","Others"
"SRX069089","DNase-Seq","Blood"
"SRX069090","DNase-Seq","Muscle"
"SRX069091","DNase-Seq","Epidermis"
"SRX069092","DNase-Seq","Kidney"
"SRX069095","DNase-Seq","Blood"
"SRX069096","DNase-Seq","Lung"
"SRX069097","DNase-Seq","Cardiovascular"
"SRX069098","DNase-Seq","Cardiovascular"
"SRX069100","DNase-Seq","Cardiovascular"
"SRX069102","DNase-Seq","Cardiovascular"
"SRX069105","DNase-Seq","Blood"
"SRX069107","DNase-Seq","Lung"
"SRX069108","DNase-Seq","Others"
"SRX069109","DNase-Seq","Cardiovascular"
"SRX069111","DNase-Seq","Epidermis"
"SRX069113","DNase-Seq","Epidermis"
"SRX069117","DNase-Seq","Epidermis"
"SRX069118","DNase-Seq","Blood"
"SRX069119","DNase-Seq","Lung"
"SRX069120","DNase-Seq","Kidney"
"SRX069121","DNase-Seq","Others"
"SRX069123","DNase-Seq","Muscle"
"SRX069124","DNase-Seq","Others"
"SRX069125","DNase-Seq","Digestive tract"
"SRX069126","DNase-Seq","Cardiovascular"
"SRX069127","DNase-Seq","Placenta"
"SRX069128","DNase-Seq","Neural"
"SRX069129","DNase-Seq","Lung"
"SRX069130","DNase-Seq","Neural"
"SRX069131","DNase-Seq","Neural"
"SRX069132","DNase-Seq","Kidney"
"SRX069133","DNase-Seq","Cardiovascular"
"SRX069134","DNase-Seq","Breast"
"SRX069136","DNase-Seq","Kidney"
"SRX069137","DNase-Seq","Neural"
"SRX069138","DNase-Seq","Epidermis"
"SRX069139","DNase-Seq","Epidermis"
"SRX069140","DNase-Seq","Others"
"SRX069141","DNase-Seq","Kidney"
"SRX069142","DNase-Seq","Kidney"
"SRX069143","DNase-Seq","Others"
"SRX069144","DNase-Seq","Epidermis"
"SRX069145","DNase-Seq","Breast"
"SRX069146","DNase-Seq","Muscle"
"SRX069147","DNase-Seq","Cardiovascular"
"SRX069148","DNase-Seq","Cardiovascular"
"SRX069149","DNase-Seq","Epidermis"
"SRX069150","DNase-Seq","Kidney"
"SRX069151","DNase-Seq","Blood"
"SRX069154","DNase-Seq","Blood"
"SRX069155","DNase-Seq","Epidermis"
"SRX069156","DNase-Seq","Lung"
"SRX069160","DNase-Seq","Epidermis"
"SRX069161","DNase-Seq","Cardiovascular"
"SRX069162","DNase-Seq","Neural"
"SRX069165","DNase-Seq","Epidermis"
"SRX069167","DNase-Seq","Lung"
"SRX069168","DNase-Seq","Cardiovascular"
"SRX069169","DNase-Seq","Others"
"SRX069172","DNase-Seq","Others"
"SRX069176","DNase-Seq","Cardiovascular"
"SRX069177","DNase-Seq","Neural"
"SRX069178","DNase-Seq","Digestive tract"
"SRX069179","DNase-Seq","Neural"
"SRX069182","DNase-Seq","Others"
"SRX069183","DNase-Seq","Epidermis"
"SRX069185","DNase-Seq","Blood"
"SRX069187","DNase-Seq","Neural"
"SRX069189","DNase-Seq","Epidermis"
"SRX069191","DNase-Seq","Epidermis"
"SRX069194","DNase-Seq","Cardiovascular"
"SRX069199","DNase-Seq","Others"
"SRX069201","DNase-Seq","Lung"
"SRX069205","DNase-Seq","Lung"
"SRX069206","DNase-Seq","Lung"
"SRX069207","DNase-Seq","Cardiovascular"
"SRX069208","DNase-Seq","Others"
"SRX069209","DNase-Seq","Epidermis"
"SRX069210","DNase-Seq","Lung"
"SRX069211","DNase-Seq","Kidney"
"SRX069212","DNase-Seq","Others"
"SRX069213","DNase-Seq","Blood"
"SRX069214","DNase-Seq","Others"
"SRX069216","DNase-Seq","Neural"
"SRX069218","DNase-Seq","Neural"
"SRX069223","DNase-Seq","Neural"
"SRX069225","DNase-Seq","Others"
"SRX069226","DNase-Seq","Epidermis"
"SRX069227","DNase-Seq","Breast"
"SRX069229","DNase-Seq","Others"
"SRX070876","GATA2","Cardiovascular"
"SRX070877","GATA2","Cardiovascular"
"SRX070878","FOS","Cardiovascular"
"SRX070879","FOS","Cardiovascular"
"SRX079858","NFKBIA","Epidermis"
"SRX080130","MYC","Blood"
"SRX080131","MYC","Blood"
"SRX080151","MYC","Cardiovascular"
"SRX080161","MYC","Epidermis"
"SRX080328","CTCF","Breast"
"SRX080329","CTCF","Cardiovascular"
"SRX080331","CTCF","Kidney"
"SRX080333","CTCF","Blood"
"SRX080336","CTCF","Neural"
"SRX080338","CTCF","Breast"
"SRX080339","CTCF","Blood"
"SRX080340","CTCF","Epidermis"
"SRX080341","CTCF","Epidermis"
"SRX080342","CTCF","Others"
"SRX080343","CTCF","Epidermis"
"SRX080344","CTCF","Cardiovascular"
"SRX080347","CTCF","Lung"
"SRX080349","CTCF","Blood"
"SRX080355","CTCF","Blood"
"SRX080357","CTCF","Blood"
"SRX080358","CTCF","Epidermis"
"SRX080359","CTCF","Neural"
"SRX080362","CTCF","Lung"
"SRX080368","CTCF","Blood"
"SRX080371","CTCF","Blood"
"SRX080373","CTCF","Cardiovascular"
"SRX080374","CTCF","Blood"
"SRX080375","CTCF","Digestive tract"
"SRX080377","CTCF","Epidermis"
"SRX080380","CTCF","Lung"
"SRX080386","CTCF","Others"
"SRX080388","CTCF","Blood"
"SRX080389","CTCF","Digestive tract"
"SRX080390","CTCF","Kidney"
"SRX080391","CTCF","Others"
"SRX080393","CTCF","Blood"
"SRX080395","CTCF","Cardiovascular"
"SRX080398","CTCF","Neural"
