"id_data_tfs","V2"
"SRX062367","DNase hypersensitivity regions"
"SRX037113","DNase hypersensitivity regions"
"SRX069091","DNase hypersensitivity regions"
"SRX069111","DNase hypersensitivity regions"
"SRX069113","DNase hypersensitivity regions"
"SRX069139","DNase hypersensitivity regions"
"SRX069160","DNase hypersensitivity regions"
"SRX069189","DNase hypersensitivity regions"
"SRX069145","DNase hypersensitivity regions"
"SRX069227","DNase hypersensitivity regions"
"SRX069119","DNase hypersensitivity regions"
"SRX069206","DNase hypersensitivity regions"
"SRX084351","DNase hypersensitivity regions"
"SRX148292","DNase hypersensitivity regions"
"SRX148293","DNase hypersensitivity regions"
"SRX189424","DNase hypersensitivity regions"
"SRX754586","DNase hypersensitivity regions"
"SRX037119","DNase hypersensitivity regions"
"SRX069100","DNase hypersensitivity regions"
"SRX069126","DNase hypersensitivity regions"
"SRX069168","DNase hypersensitivity regions"
"SRX189403","DNase hypersensitivity regions"
"SRX201273","DNase hypersensitivity regions"
"SRX069089","DNase hypersensitivity regions"
"SRX069213","DNase hypersensitivity regions"
"SRX100913","DNase hypersensitivity regions"
"SRX121243","DNase hypersensitivity regions"
"SRX189387","DNase hypersensitivity regions"
"SRX189390","DNase hypersensitivity regions"
"SRX189409","DNase hypersensitivity regions"
"SRX201806","DNase hypersensitivity regions"
"SRX201808","DNase hypersensitivity regions"
"SRX201813","DNase hypersensitivity regions"
"SRX201822","DNase hypersensitivity regions"
"SRX2370612","DNase hypersensitivity regions"
"SRX2370643","DNase hypersensitivity regions"
"SRX091575","DNase hypersensitivity regions"
"SRX091576","DNase hypersensitivity regions"
"SRX100908","DNase hypersensitivity regions"
"SRX100909","DNase hypersensitivity regions"
"SRX189402","DNase hypersensitivity regions"
"SRX201292","DNase hypersensitivity regions"
"SRX2370592","DNase hypersensitivity regions"
"SRX2370593","DNase hypersensitivity regions"
"SRX581576","DNase hypersensitivity regions"
"SRX581577","DNase hypersensitivity regions"
"SRX026916","DNase hypersensitivity regions"
"SRX026917","DNase hypersensitivity regions"
"SRX026924","DNase hypersensitivity regions"
"SRX037109","DNase hypersensitivity regions"
"SRX037110","DNase hypersensitivity regions"
"SRX037111","DNase hypersensitivity regions"
"SRX037114","DNase hypersensitivity regions"
"SRX037117","DNase hypersensitivity regions"
"SRX037118","DNase hypersensitivity regions"
"SRX040375","DNase hypersensitivity regions"
"SRX040391","DNase hypersensitivity regions"
"SRX040394","DNase hypersensitivity regions"
"SRX040401","DNase hypersensitivity regions"
"SRX040411","DNase hypersensitivity regions"
"SRX040416","DNase hypersensitivity regions"
"SRX055156","DNase hypersensitivity regions"
"SRX055157","DNase hypersensitivity regions"
"SRX055158","DNase hypersensitivity regions"
"SRX055162","DNase hypersensitivity regions"
"SRX055164","DNase hypersensitivity regions"
"SRX055165","DNase hypersensitivity regions"
"SRX055166","DNase hypersensitivity regions"
"SRX055167","DNase hypersensitivity regions"
"SRX055173","DNase hypersensitivity regions"
"SRX055174","DNase hypersensitivity regions"
"SRX055185","DNase hypersensitivity regions"
"SRX069090","DNase hypersensitivity regions"
"SRX069123","DNase hypersensitivity regions"
"SRX069129","DNase hypersensitivity regions"
"SRX069134","DNase hypersensitivity regions"
"SRX069137","DNase hypersensitivity regions"
"SRX069138","DNase hypersensitivity regions"
"SRX069146","DNase hypersensitivity regions"
"SRX069149","DNase hypersensitivity regions"
"SRX069151","DNase hypersensitivity regions"
"SRX069162","DNase hypersensitivity regions"
"SRX069177","DNase hypersensitivity regions"
"SRX069185","DNase hypersensitivity regions"
"SRX069199","DNase hypersensitivity regions"
"SRX069205","DNase hypersensitivity regions"
"SRX100905","DNase hypersensitivity regions"
"SRX100911","DNase hypersensitivity regions"
"SRX100990","DNase hypersensitivity regions"
"SRX100991","DNase hypersensitivity regions"
"SRX156141","DNase hypersensitivity regions"
"SRX156142","DNase hypersensitivity regions"
"SRX189396","DNase hypersensitivity regions"
"SRX2370668","DNase hypersensitivity regions"
"SRX2370669","DNase hypersensitivity regions"
"SRX069084","DNase hypersensitivity regions"
"SRX069087","DNase hypersensitivity regions"
"SRX069088","DNase hypersensitivity regions"
"SRX069092","DNase hypersensitivity regions"
"SRX069095","DNase hypersensitivity regions"
"SRX069096","DNase hypersensitivity regions"
"SRX069097","DNase hypersensitivity regions"
"SRX069098","DNase hypersensitivity regions"
"SRX069102","DNase hypersensitivity regions"
"SRX069105","DNase hypersensitivity regions"
"SRX069107","DNase hypersensitivity regions"
"SRX069108","DNase hypersensitivity regions"
"SRX069109","DNase hypersensitivity regions"
"SRX069117","DNase hypersensitivity regions"
"SRX069118","DNase hypersensitivity regions"
