"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"PROSER2-AS1",4.72e-09,0.853402071366271,0,587,1862,23,1.79274911584405
"PROX1-AS1",2.98e-09,1.164232074172,0,587,8849,79,1.76176976918009
"PRR7-AS1",2.52e-06,0.893518386087298,0,587,2464,43,1.5654371636029
"PRRT3-AS1",0.00091943258953339,1.05951253130163,0.001,2438,6237,13,0.348284169364772
"PRRX2-AS1",0.000112386052484159,0.817433602441984,0.001,2438,1427,6,1.05876294432557
"PRSS29P",1.44e-08,0.820899674343106,0,587,1468,38,1.98489544243989
"PRSS51",0.000483381619715185,1.10961132295259,0.001,2438,7534,30,0.576911337054396
"PSMB8-AS1",2.82e-07,0.931652693031591,0,587,3119,27,1.35862521038033
"PSMD5-AS1",1.28e-12,1.04749576777697,0,587,5918,61,1.23890853737968
"PSMD6-AS2",0.637088198459976,1.33084608844332,0.337,11037.5,10778,5,-0.784576338868899
"PSMG3-AS1",1.95e-09,0.745483431040942,0,587,812,32,0
"PSORS1C3",3.04e-06,0.960392168649692,0.001,2438,3745,14,0.261212122833938
"PTCHD1-AS",0.00273767385757912,1.20512289952773,0.003,4303,9581,28,0.5763100903932
"PTCHD3P1",5.88e-06,1.03403112646053,0.001,2438,5560,25,0.227816903906711
"PTCSC3",0.00921075668990083,1.03941604718415,0.01,5536,5692,7,-0.622192572448673
"PTOV1-AS1",0.000139192844651054,0.870905088362337,0.001,2438,2115,14,0.745214808949219
"PTPRD-AS1",0.46832800886519,1.28144906782135,0.487,11918.5,10433,4,-1.11713039776636
"PTPRD-AS2",0.578844540756846,1.29469632245655,0.387,11340.5,10535,7,-0.975479405392082
"PTPRG-AS1",1.97e-05,1.19742028814137,0.001,2438,9467,36,0.953793191472993
"PTPRJ-AS1",0.511997528050219,1.19692487954374,0.442,11665.5,9456,6,-1.41651791122638
"PVRL3-AS1",2.63e-05,1.04303938152303,0.001,2438,5785,21,0.270740696882709
"PVT1",4.74e-20,1.02737247691744,0,587,5378,87,1.14291809680798
"PWRN1",0.000240877312723974,1.10155380987491,0.001,2438,7343,27,0.54084598023659
"PWRN2",0.0350403513895557,0.820518580936724,0.034,7263,1460,3,-0.316161164775932
"PWRN3",0.0189629195486257,1.1900374270017,0.016,6459.5,9362,3,-0.136688495052704
"PWRN4",0.0372263545527223,1.16073058776538,0.038,7383,8787,7,-0.600297757555564
"PXN-AS1",1.19e-07,0.856364357499674,0,587,1907,31,1.77560213724225
"RAB11B-AS1",0.094395981058069,0.961379934863889,0.084,8757.5,3774,4,-1.45669199700514
"RAB30-AS1",0.065503485883746,1.06348054342673,0.065,8228.5,6350,15,-1.24489283982947
"RAD51-AS1",0.00245428046210896,1.01927038343619,0.003,4303,5162,7,-0.252545851198298
"RAET1E-AS1",0.000295070560761063,0.996858546488889,0.001,2438,4613,21,0.0767956162794945
"RAI1-AS1",0.00706981002217984,1.0293790653606,0.009,5337.5,5431,14,-0.629030728365559
"RAMP2-AS1",1.45e-12,0.78124684560519,0,587,1062,40,0
"RAP2C-AS1",0.175977127026609,1.35443468214657,0.186,9881,10937,8,-0.462989138935519
"RAPGEF4-AS1",5.57e-06,0.888200485896185,0.001,2438,2371,30,0.647906256684372
"RARA-AS1",0.000251221471600979,0.779118364730125,0.001,2438,1041,15,1.29631849914982
"RASA3-IT1",0.046159608442906,0.743108731744394,0.045,7708,798,3,0.0637688983767114
"RASAL2-AS1",0.00105302304670331,0.83538608565559,0.001,2438,1638,8,0.951262235284202
"RASGRF2-AS1",0.00207590434812475,1.08643802842777,0.003,4303,6943,10,0.0632567651208729
"RASSF8-AS1",2.16e-07,0.937161377289978,0,587,3236,29,1.3294519937277
"RBAKDN",0.000325969177268792,0.937675531314015,0.001,2438,3246,25,0.379667579035854
"RBFADN",0.00205629783457991,1.10225580754954,0.003,4303,7365,17,0.134784771127837
"RBM26-AS1",8.33e-07,0.973206217383997,0,587,4035,20,1.14269366471698
"RBMS3-AS1",0.0485438178534768,1.10888665985847,0.047,7811,7514,3,-0.910167734034559
"RBMS3-AS3",0.258468517216725,1.20109933486638,0.279,10639,9527,3,-1.21762129608822
