"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"neg_727",0.0872604573806943,1.49834606362321,0.301,9893.5,9285,10,-0.812930207668784
"neg_728",0.976266362496746,1.64669389820793,0.011,4229.5,10063,10,0.485838768177674
"neg_729",0.986482183662272,2.27954691904699,0.003,3164,11629,10,1.70977752022268
"neg_73",0.381543364817508,1.77768627926774,0.325,10172,10577,10,-0.410132032947267
"neg_730",0.387088541760539,2.21478373674846,0.321,10120.5,11565,10,0.143611643756048
"neg_731",0.233990109282461,1.90120305881426,0.458,11624,10931,10,-0.352574505175155
"neg_732",0.198092589878953,1.90010905640057,0.486,11894.5,10928,10,-0.373115823821381
"neg_733",0.345213829847747,2.08096288960467,0.353,10568.5,11348,10,-0.0428297522640042
"neg_734",0.571827328302619,1.90218496819496,0.196,8555,10935,10,-0.0780969962254427
"neg_735",0.012726827189401,1.66655733147741,0.075,6640,10159,10,-0.0997588939490346
"neg_736",0.00774164841900107,1.65634680961354,0.051,6022.5,10116,10,0.00884622574422783
"neg_737",0.643899827178836,2.34883521872768,0.155,8082,11687,10,0.524863051059506
"neg_738",0.184697101907903,1.88558268194934,0.467,11739,10891,10,-0.379469499118397
"neg_739",0.21984388138931,1.83982684406653,0.472,11785,10778,10,-0.444328137414215
"neg_74",0.813921373773222,2.34150492374976,0.089,6984.5,11680,10,0.695522416151127
"neg_740",0.215110109457381,1.83865274067937,0.479,11837,10774,10,-0.450663520047858
"neg_741",0.142158900685774,1.96204478422762,0.399,11038.5,11067,10,-0.229409133740449
"neg_742",0.203215617568344,2.00524801903723,0.499,11978.5,11172,10,-0.246935115306036
"neg_743",0.155170769865539,1.75760128932538,0.42,11257.5,10494,10,-0.521088738347369
"neg_744",0.725091848395243,2.14998740502958,0.121,7649.5,11464,10,0.383331072460138
"neg_745",0.0401723939034841,1.76097999946192,0.181,8383,10512,10,-0.245359956299153
"neg_746",0.181954138717297,1.86593533587344,0.462,11672.5,10839,10,-0.402197639519458
"neg_747",0.0347508796062424,1.41473749971856,0.159,8117,8674,10,-0.751119252519717
"neg_748",0.000393369781921567,1.0948046263268,0.007,3573,5330,10,-0.391027189277516
"neg_749",0.0589509697154525,1.69089211614258,0.23,9103,10264,10,-0.424025178269856
"neg_75",0.207078710901739,1.88523322086521,0.492,11948,10890,10,-0.396720476517651
"neg_750",0.645202568212444,1.95057639228035,0.152,8062,11043,10,0.0665348492156289
"neg_751",0.509997663587901,2.37136327646193,0.226,9030.5,11702,10,0.427377653445303
"neg_752",0.642793757915068,1.97723055113814,0.156,8089,11101,10,0.0921167292524245
"neg_753",0.479780604216447,2.14311159524991,0.248,9308,11450,10,0.144393329283308
"neg_754",0.0304384531474411,1.67136492997241,0.139,7890,10184,10,-0.291013856306007
"neg_755",0.0583595499924073,1.58490790022248,0.228,9082,9794,10,-0.583082406617256
"neg_756",0.0405949627011472,1.69938318632812,0.184,8410.5,10290,10,-0.339686776027473
"neg_757",0.149996704533214,1.84502738975514,0.41,11151.5,10794,10,-0.39193834115334
"neg_758",0.51883301115236,1.70108342515255,0.22,8948,10302,10,-0.394692294844022
"neg_759",0.303388952772536,1.88157316968573,0.387,10910.5,10884,10,-0.324305751210175
"neg_76",0.0982599331288295,1.72778574143462,0.323,10151,10397,10,-0.479344391668405
"neg_760",0.287800075446679,2.07693104118725,0.4,11045,11341,10,-0.0879149366947787
"neg_761",0.427815918752299,2.17349233499139,0.289,9732,11500,10,0.13035081130836
"neg_762",0.182574176126575,1.91011055126905,0.463,11678.5,10953,10,-0.344380911068468
"neg_763",0.354109153249419,1.88709415594714,0.344,10412,10897,10,-0.279065737143998
"neg_764",0.840533072809921,2.27052363493617,0.071,6559,11617,10,0.69120352499315
"neg_765",0.378365214993629,1.95066660234378,0.329,10193.5,11044,10,-0.181859650827675
"neg_766",0.158276339849902,1.99930626043165,0.427,11317.5,11156,10,-0.204195532139494
"neg_767",0.340195324627087,2.02484456072338,0.363,10651.5,11222,10,-0.120185125505811
"neg_768",0.406099914198191,1.92141552841664,0.305,9940.5,10975,10,-0.195261719509199
"neg_769",0.183514751465062,1.79579849800195,0.465,11711.5,10635,10,-0.500089040763812
"neg_77",0.592634967994017,2.04662467091191,0.185,8440.5,11272,10,0.123512793834114
"neg_770",0.0777878200508135,1.5482930743438,0.278,9636.5,9594,10,-0.705345810025254
"neg_771",0.129454211977695,1.7036255601847,0.369,10713.5,10319,10,-0.557416007563212
"neg_772",0.00383120161632621,1.24153052083513,0.026,5244.5,7091,10,-0.495692678276847
"neg_773",0.188448406260394,1.68896452971083,0.472,11785,10253,10,-0.658275630496224
"neg_774",0.315805279033623,1.70541441954672,0.377,10811,10323,10,-0.561695709462142
"neg_775",0.0391097619031904,1.42024158152438,0.175,8337.5,8714,10,-0.772262612823972
"neg_776",0.392380378934259,1.93812718715794,0.316,10076.5,11014,10,-0.185009968914739
"neg_777",0.332186788962063,1.5326746311019,0.365,10681,9488,10,-0.818338690599702
"neg_778",0.41557628987936,2.07670213741491,0.295,9817,11340,10,0.00981960895918677
